ParentPath,FileName,FileSize
.,$Recycle.Bin,
.,inetpub,
.,PerfLogs,
.,Program Files,
.,Program Files (x86),
.,ProgramData,
.,Users,
.,Windows,
.,bootmgr,384322
.,BOOTNXT,1
.\inetpub,custerr,
.\inetpub,history,
.\inetpub,logs,
.\inetpub,temp,
.\inetpub,wwwroot,
.\inetpub\custerr,en-US,
.\Program Files\Common Files\microsoft shared\Stationery,OrangeCircles.jpg,6381
.\Program Files\Common Files\microsoft shared\Stationery,Peacock.htm,232
.\Program Files\Common Files\microsoft shared\Stationery,Peacock.jpg,5115
.\Program Files\Common Files\microsoft shared\Stationery,Roses.htm,233
.\Program Files\Common Files\microsoft shared\Stationery,Roses.jpg,1920
.\Program Files\Common Files\microsoft shared\Stationery,Shades of Blue.htm,237
.\Program Files\Common Files\microsoft shared\Stationery,ShadesOfBlue.jpg,4734
.\Program Files\Common Files\microsoft shared\Stationery,Soft Blue.htm,232
.\Program Files\Common Files\microsoft shared\Stationery,SoftBlue.jpg,10569
.\Program Files\Common Files\microsoft shared\Stationery,Stars.htm,230
.\Program Files\Common Files\microsoft shared\Stationery,Stars.jpg,7505
.\Program Files\Common Files\microsoft shared\TextConv,en-US,
.\Program Files\Common Files\microsoft shared\Triedit,en-US,
.\Program Files\Common Files\microsoft shared\VGX,VGX.dll,998400
.\Program Files\Common Files\Services,verisign.bmp,2702
.\Program Files\Common Files\System,ado,
.\Program Files\Common Files\System,en-US,
.\Program Files\Common Files\System,msadc,
.\Program Files\Common Files\System,Ole DB,
.\Program Files\Common Files\System,DirectDB.dll,32256
.\Program Files\Common Files\System,wab32.dll,867840
.\Program Files\Common Files\System,wab32res.dll,964096
.\Program Files\Common Files\System\ado,en-US,
.\Program Files\Common Files\System\ado,adojavas.inc,14856
.\Program Files\Common Files\System\ado,adovbs.inc,15195
.\Program Files\Common Files\System\ado,msader15.dll,2560
.\Program Files\Common Files\System\ado,msado15.dll,1225728
.\Program Files\Common Files\System\ado,msado20.tlb,51200
.\Program Files\Common Files\System\ado,msado21.tlb,53760
.\Program Files\Common Files\System\ado,msado25.tlb,69632
.\Program Files\Common Files\System\ado,msado26.tlb,70656
.\Program Files\Common Files\System\ado,msado27.tlb,71168
.\Program Files\Common Files\System\ado,msado28.tlb,70656
.\Program Files\Common Files\System\ado,msado60.tlb,70656
.\Program Files\Common Files\System\ado,msadomd.dll,368640
.\Program Files\Common Files\System\ado,msadomd28.tlb,13824
.\Program Files\Common Files\System\ado,msador15.dll,45568
.\Program Files\Common Files\System\ado,msador28.tlb,35840
.\Program Files\Common Files\System\ado,msadox.dll,407552
.\Program Files\Common Files\System\ado,msadox28.tlb,24576
.\Program Files\Common Files\System\ado,msadrh15.dll,76288
.\Program Files\Common Files\System\ado\en-US,msader15.dll.mui,17920
.\Program Files\Common Files\System\en-US,wab32res.dll.mui,94208
.\Program Files\Common Files\System\msadc,en-US,
.\Program Files\Common Files\System\msadc,adcjavas.inc,630
.\Program Files\Common Files\System\msadc,adcvbs.inc,623
.\Program Files\Common Files\System\msadc,msadce.dll,622080
.\Program Files\Common Files\System\msadc,msadcer.dll,2560
.\Program Files\Common Files\System\msadc,msadco.dll,245248
.\Program Files\Common Files\System\msadc,msadcor.dll,2560
.\Program Files\Common Files\System\msadc,msadds.dll,281088
.\Program Files\Common Files\System\msadc,msaddsr.dll,2560
.\Program Files\Common Files\System\msadc,msdaprsr.dll,2560
.\Program Files\Common Files\System\msadc,msdaprst.dll,359424
.\Program Files\Common Files\System\msadc,msdarem.dll,223744
.\Program Files\Common Files\System\msadc,msdaremr.dll,2560
.\Program Files\Common Files\System\msadc,msdfmap.dll,31232
.\Program Files\Common Files\System\msadc\en-US,msadcer.dll.mui,10240
.\Program Files\Common Files\System\msadc\en-US,msadcor.dll.mui,6144
.\Program Files\Common Files\System\msadc\en-US,msaddsr.dll.mui,14336
.\Program Files\Common Files\System\msadc\en-US,msdaprsr.dll.mui,7680
.\Program Files\Common Files\System\msadc\en-US,msdaremr.dll.mui,6144
.\Program Files\Common Files\System\Ole DB,en-US,
.\Program Files\Common Files\System\Ole DB,msdaosp.dll,100864
