ParentPath,FileName,FileSize
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Extensions,external_extensions.json.DATA,99
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks,icudtl.dat.DATA,12005472
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\identity_proxy,identity_helper.Sparse.Beta.msix.DATA,53502
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\identity_proxy,identity_helper.Sparse.Canary.msix.DATA,53472
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\identity_proxy,identity_helper.Sparse.Dev.msix.DATA,52879
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\identity_proxy,identity_helper.Sparse.Internal.msix.DATA,56803
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\identity_proxy,identity_helper.Sparse.Stable.msix.DATA,56782
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\identity_proxy,resources.pri.DATA,3744
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,af.pak.DATA,444483
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,am.pak.DATA,653994
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,ar.pak.DATA,678622
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,as.pak.DATA,964528
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,az.pak.DATA,504339
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,bg.pak.DATA,763915
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,bn-IN.pak.DATA,998637
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,bs.pak.DATA,476369
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,ca-Es-VALENCIA.pak.DATA,483410
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,ca.pak.DATA,486171
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,cs.pak.DATA,500593
